EDA,Temp,HR,Acc_X,Acc_Y,Acc_Z,stress_level
2013-07-04 12:06:34,2013-07-04 12:06:34,2013-07-04 12:06:44,2013-07-04 13:23:46,2013-07-04 13:23:46,2013-07-04 13:23:46,4.5
4.0,4.0,1.0,32.0,32.0,32.0,4.0
0.0,31.35,51.0,-16.0,28.0,56.0,3.0
0.034585,31.35,67.0,-13.0,29.0,56.0,3.0
0.064047,31.35,62.33,-15.0,29.0,54.0,2.0
0.061485,31.35,67.25,-14.0,29.0,54.0,3.0
0.13578,31.35,66.6,-13.0,30.0,55.0,6.0
0.125533,31.35,66.17,-13.0,29.0,56.0,1.0
0.143466,31.35,66.57,-12.0,29.0,56.0,5.0
0.144747,31.35,67.12,-13.0,30.0,56.0,4.0
0.143466,31.33,67.89,-13.0,29.0,56.0,8.0
0.142185,31.33,68.4,-12.0,30.0,56.0,5.0
0.144747,31.33,68.91,-12.0,29.0,56.0,4.0
0.142185,31.33,69.25,-13.0,30.0,56.0,6.0
0.137061,31.35,69.54,-12.0,29.0,56.0,5.0
0.13578,31.35,69.71,-12.0,29.0,56.0,4.0
0.134499,31.35,69.87,-13.0,28.0,57.0,1.0
0.131937,31.35,70.0,-11.0,29.0,56.0,3.0
